id,location name,type,title,features,pool (0/1),sea view (0/1),garage (0/1)
134273,Nagüeles,houses,"4 bedroom townhouse for sale, solana de nagueles, marbella milla de oro, malaga costa del sol, andalucia","bedrooms: 4, bathrooms: 4, floor size (m2): 284, plot size (m2): 186, work required: none, swimming pool, balcony, jacuzzi, garage",1,0,1
134363,Nagüeles,houses,"3 bedroom townhouse for sale, rocio de nagueles, marbella milla de oro, malaga costa del sol, andalucia","bedrooms: 3, bathrooms: 3, floor size (m2): 168, plot size (m2): 223, work required: none, swimming pool",1,0,0
134574,Nagüeles,houses,"3 bedroom townhouse for sale, nagueles, marbella golden mile, malaga costa del sol","bedrooms: 3, bathrooms: 2, floor size (m2): 147, plot size (m2): 143, work required: none, swimming pool, air conditioning, jacuzzi, garage",1,0,1
134581,Nagüeles,houses,"3 bedroom townhouse for sale, nagueles, marbella ciudad y milla de oro, malaga costa del sol, andalucia","bedrooms: 3, bathrooms: 2, floor size (m2): 170, plot size (m2): 220, work required: none, swimming pool, jacuzzi",1,0,0
137331,Golden Mile,houses,"luxury marbella golden mile villa, close to amenities and the beach","fitted wardrobes,   private terrace,   covered terrace,   guest apartment,   jacuzzi,   fireplace,   air conditioning,   central heating,   amenities near,   garden view,   mountain view,   pool view,   fully furnished,   fully fitted kitchen,   sea view,   close to golf,   close to port,   close to schools,   close to sea/beach,   close to shops,   close to town,   uncovered terrace,   excellent condition,   marble floors,   laundry room,   recently renovated/refurbished,   dolby stereo surround system",1,1,0
137573,Nagüeles,houses,"3 bedroom townhouse for sale in prime location, nagueles, marbella golden mile","fully fitted kitchen, alarm, dining room, living room, gated community, beachside, security entrance, sea view, fitted wardrobes, air conditioning, marble floors, private terrace, covered terrace, garden view, amenities near",0,1,0
137595,Nagüeles,houses,rustic style villa for sale in nagueles a few minutes away from marbella centre,"fully fitted kitchen, utility room, fireplace, sauna, guest room, storage room, gym, alarm, solarium, security entrance, double glazing, barbeque, telephone, private terrace, wall-to-wall carpet, amenities near, separate apartment, mountain view, transport near, internet - wifi, covered terrace, fitted wardrobes, air conditioning, central heating, underfloor heating (partial), uncovered terrace",0,0,0
138133,Nagüeles,apartments,"apartment for sale in hacienda nagueles ii, marbella golden mile. hacienda nagueles golden mile, marbella","air conditioning, alarm, amenities near, double glazing, fully fitted kitchen, fully furnished",0,0,0
138136,Nagüeles,apartments,"apartment for sale in costa nagueles iii, marbella golden mile. cosy apartment marbella centre","24h service, air conditioning, amenities near, covered terrace, dining room, fitted wardrobes, fully fitted kitchen, garden view, gated community, lift, living room, marble floors, private terrace, sea view, security service 24h, storage room, transport near",0,1,0
138255,Nagüeles,apartments,"ground floor apartment for sale in costa nagueles i, marbella golden mile. lovely sunny  ground floor","24h service, air conditioning, amenities near, covered terrace, garden view, laundry room",0,0,0
138449,Nagüeles,houses,"rocio de nagueles, modern villa in the heart of the golden mile with sea views","south facing modern style villa in rocio de nagüeles, spectacular sea views, approximately 2,3 kms to marbella centre and the beach, outdoor pool with electric cover and partially heated, parking for 4-5 cars, alarm system, surveillance cameras, security windows, electric shutters in bedrooms , a/c hot and cold, electric underfloor heating in bathrooms , solar panels for heating, water under floor heating in living areas on the ground and first floor, aluminum carpentry , sound system, pre-installation for elevator, 2 water tanks, water softener",1,1,0
138452,Nagüeles,houses,"semi detached house for sale in nagueles, marbella golden mile. charming townhouse in corona de nagueles on marbella golden mile","air conditioning, amenities near, barbeque, brand new, central heating, covered terrace, dining room, fireplace, fitted wardrobes, fully fitted kitchen, garden view, gated community, guest room, guest toilet, living room, marble floors, pool view, private terrace, solarium, transport near, utility room",1,0,0
138456,Nagüeles,apartments,"apartment for sale in hacienda nagueles i, marbella golden mile. apartment in hacienda nagueles","24h service, air conditioning, amenities near, central heating, close to sea/beach, close to schools, close to shops, close to town, covered terrace, dining room, double glazing, electric blinds, fitted wardrobes, fully fitted kitchen, gated community, good condition, guest room, guest toilet, lift, living room, marble floors, private terrace, sea view, security service 24h, storage room, tennis / paddle court, transport near",0,1,0
138518,Nagüeles,houses,"town house for sale in corona de nagueles, marbella golden mile. andalusian inscripted townhouse","close to sea/beach, close to schools, close to town, dining room, fully fitted kitchen, living room, marble floors, open plan kitchen, private terrace, transport near",0,0,0
138523,Nagüeles,houses,"nagueles, mountainside townhouse","east facing townhouse with mountain views, within secure development with concierge service, short driving distance to marbella and puerto banus, communal gardens, swimming pools and paddle court, multi-purpose room in basement , 2 underground garage spaces, storage room, air conditioning with heat pump, chimney, marble floors throughout except kitchen and terrace",1,0,1
138534,Nagüeles,houses,"rocio de nagueles, house in rocio de nagueles","family villa in rocio de nagueles, approximately 2,9 kms from the marbella centre and the beach, sea and mountain views, air conditioning on the ground floor and master bedroom, electric under floor heating in bathrooms, low power consumption heating, exterior covered parking for 2 cars , storage /wine cellar, solar panels for hot water",0,0,0
138574,Nagüeles,apartments,"duplex penthouse for sale in hacienda nagueles i, marbella golden mile. duplex penthouse in hacienda de nagueles","24h service, air conditioning, amenities near, dining room, fitted wardrobes, fully fitted kitchen, fully furnished, gated community, guest toilet, laundry room, living room, marble floors, mountain view, private terrace, sea view, security service 24h, solarium, storage room, tennis / paddle court, transport near",0,1,0
138638,Nagüeles,houses,"rocio de nagueles, lovely villa in the golden mile","lovely villa in the heart of rocio de nagueles, at approximately 2,3 kms from the centre of marbella and the beach, garden and pool views, partial sea views from the upper floor, 1 car garage, air conditioning, water underfloor heating, heated indoor swimming pool, sauna, private garden with outdoor pool",1,1,1
138655,Nagüeles,apartments,"nagueles, splendid duplex penthouse with sea views","splendid duplex penthouse in luxury development, located on the golden mile, approx. 5 kms from puerto banús, southwest orientation and sea views, two garage spaces and store room, a/c (hot & cold), parquet flooring throughout, communal swimming pool and gardens, fully furnished kitchen, satellite t.v, alarm system, double glazed windows",1,1,1
138682,Golden Mile,apartments,"ground floor apartment for sale in mansion club, marbella golden mile. ground floor in mansion club","24h service, air conditioning, central heating, covered terrace, dining room, fitted wardrobes, fully fitted kitchen, garden view, gated community, gym, indoor pool, jacuzzi, kitchen equipped, lift, living room, marble floors, pool view, private terrace, sauna, security service 24h, storage room, video entrance",1,0,0
138731,Golden Mile,apartments,"ground floor apartment for sale in mansion club, marbella golden mile. magnificient apartment in mansion club, marbella golden m","24h service, air conditioning, brand new, central heating, close to schools, close to town, covered terrace, dining room, double glazing, excellent condition, fitted wardrobes, fully fitted kitchen, garden view, gated community, gym, heated pool, indoor pool, internet - wifi, lift, living room, marble floors, mountainside, private terrace, spa, sauna, sea view, security entrance, security service 24h, storage room, video entrance",1,1,0
138768,Nagüeles,apartments,"apartment for sale in el retiro de nagueles, marbella golden mile. luxury modern apartment in retiro de nagueles for an incredib","air conditioning, alarm, close to schools, close to town, covered terrace, dining room, double glazing, electric blinds, excellent condition, fitted wardrobes, fully fitted kitchen, gated community, guest toilet, lift, marble floors, mountain view, mountainside, private terrace, sea view, storage room, surveillance cameras, unfurnished, video entrance, wooden floors",0,1,0
138771,Golden Mile,apartments,"apartment for sale in mansion club, marbella golden mile. nice apartment in mansion club, marbella golden mile","air conditioning, fitted wardrobes, fully fitted kitchen, garden view, gated community, gym, heated pool, home automation system, indoor pool, jacuzzi, lift, private terrace, sea view, underfloor heating (throughout)",1,1,0
138830,Golden Mile,apartments,"apartment for sale in mansion club, marbella golden mile. completely new apartment in mansion club","air conditioning, alarm, amenities near, bars, covered terrace, dining room, double glazing, fitted wardrobes, fully fitted kitchen, garden view, gated community, gym, heated pool, home automation system, lift, marble floors, private terrace, sauna, sea view, security entrance, security service 24h, underfloor heating (throughout)",1,1,0
138856,Nagüeles,houses,"villa for sale in nagueles, marbella golden mile. charming white dashed villa fully refurbished in nagueles","air conditioning, automatic irrigation system, brand new, close to schools, close to town, covered terrace, dining room, double glazing, fireplace, fitted wardrobes, fully fitted kitchen, garden view, guest toilet, living room, marble floors, mountainside, uncovered terrace, underfloor heating (bathrooms), underfloor heating (partial), video entrance",0,0,0
138877,Golden Mile,apartments,"apartment for sale in las cañas beach, marbella golden mile. nice furnished apartment","air conditioning, alarm, amenities near, barbeque, covered terrace, dining room, electric blinds, fireplace, fitted wardrobes, fully fitted kitchen, fully furnished, garden view, gated community, laundry room, lift, living room, marble floors, pool view, private terrace, security entrance, security service 24h, security shutters, transport near, utility room",1,0,0
138885,Golden Mile,apartments,"apartment for sale in mansion club, marbella golden mile. apartment in mansion club","air conditioning, central heating, covered terrace, dining room, double glazing, fireplace, fitted wardrobes, fully fitted kitchen, garden view, gated community, gym, heated pool, indoor pool, internet - wifi, jacuzzi, kitchen equipped, laundry room, lift, living room, marble floors, mountainside, pool view, private terrace, sauna, security entrance, security service 24h, storage room, video entrance",1,0,0
138887,Nagüeles,apartments,"ground floor apartment for sale in nagueles, marbella golden mile. ground floor in retiro nagueles","air conditioning, central heating, close to schools, covered terrace, dining room, double glazing, excellent condition, fully fitted kitchen, gated community, internet - wifi, laundry room, lift, living room, pool view, private terrace, security entrance, storage room, wooden floors",1,0,0
138913,Golden Mile,apartments,"apartment for sale in las cañas beach, marbella golden mile. apartment in las cañas","24h service, air conditioning, alarm, amenities near, barbeque, central heating, covered terrace, dining room, fireplace, fitted wardrobes, front line beach, fully fitted kitchen, gated community, laundry room, lift, living room, marble floors, security service 24h, transport near",0,0,0
138939,Nagüeles,apartments,"apartment for sale in nagueles, marbella golden mile. retiro de nagueles, luxury apartmernt  in marbella.","air conditioning, alarm, amenities near, fully fitted kitchen, fully furnished, guest room, guest toilet, mountain view, parquet floors, private terrace, satellite tv, sea view, telephone, utility room, video entrance",0,1,0
138998,Golden Mile,apartments,"penthouse for sale in mansion club, marbella golden mile. penthouse in mansion club, marbella golden mile","24h service, air conditioning, basement, central heating, covered terrace, dining room, fitted wardrobes, fully fitted kitchen, gym, heated pool, indoor pool, internet - wifi, jacuzzi, kitchen equipped, lift, living room, marble floors, mountainside, pool view, private terrace, sauna, sea view, utility room",1,1,0
139021,Golden Mile,apartments,"beach side golden mile, duplex penthouse in alhambra del mar","duplex penthouse in beachfront development, next to 5-star melia don pepe hotel , 30 metres walk to the beach, within walking distance to marbella centre, views of the beautiful gardens with swimming pool, the three bedrooms have bathrooms en suite, off street parking, air conditioning",1,0,0
139025,Nagüeles,apartments,penthouse for sale in marbella golden mile. penthouse in nagueles,"air conditioning, brand new, central heating, dining room, fireplace, fitted wardrobes, garden view, gated community, kitchen equipped, laundry room, lift, marble floors, pool view, private terrace, security service 24h, utility room",1,0,0
139050,Nagüeles,houses,"rocio de nagueles, villa in rocio de nagueles","outstanding villa in secluded location with sea views, approximately 2,3km from the centre of marbella, carport for 3 cars, large outdoor parking space, exterior and interior alarm system, b&amp;o music and tv system, home cinema, electric under floor heating in the bathrooms, gas under floor heating in the guest wing, gas tank, water well for irrigation, water tank, air conditioning, private mature garden with swimming pool",1,1,0
139068,Golden Mile,houses,"beach side golden mile, villa in prestigious gated urbanization","in the heart of the golden mile, 300mts from the beach, 1,8 km to marbella city center, 24 hour security, cinema room, master bedroom with jacuzzi, marble and oak wood flooring, tropical wood exterior carpentry, electric shutters, double glazed windows, water tank with pump, gasoil tank, under floor heating throughout , pre installation for satellite in the lounge and master bedroom, individually controlled a/c with heat pump, knx home automation system, sonos sound system, alarm system, exterior surveillance cameras, irrigation system for the garden, swimming pool with saline chlorination , pre installation for pool heating",1,0,0
139106,Nagüeles,houses,"villa for sale in nagueles, marbella golden mile. villa for sale in nagueles, marbella","air conditioning, alarm, amenities near, barbeque, country view, fireplace, fully fitted kitchen, guest room, kitchen equipped, marble floors, mountain view, mountainside, private terrace, telephone, transport near",0,0,0
139113,Nagüeles,houses,"rocio de nagueles, villa in nagueles","villa in nagüeles with sea views, approximately  4 km from marbella old town , garage for 3 cars, marble floors, automatic irrigation system, solar panels for hot water, heating by radiators, fireplace in the lounge",0,1,1
139155,Nagüeles,apartments,"apartment for sale in marbella golden mile. apartment in nagueles, golden mile, marbella","air conditioning, brand new, central heating, covered terrace, dining room, fireplace, fitted wardrobes, gated community, kitchen equipped, laundry room, lift, living room, marble floors, private terrace, utility room",0,0,0
139202,Nagüeles,houses,"nagueles, lovely villa in nagueles","lovely bungalow style villa in the golden mile, 2km to marbella centre, jacuzzi in the master bathroom, garage for 2 cars, fire place, alarm system, satellite tv, iroko carpentry , marble bathrooms, double glazed windows",0,0,1
139227,Golden Mile,apartments,"duplex penthouse for sale in marbella golden mile. duplex apartment for sale in alhambra del mar, golden mile, marbella.","air conditioning, amenities near, dining room, garden view, guest toilet, kitchen equipped, living room, mountain view, panoramic view, pool view, private terrace, sea view, security entrance, solarium, transport near, utility room",1,1,0
139359,Golden Mile,apartments,"apartment for sale in las cañas beach, marbella golden mile. beachfront penthouse in las cañas, next to marbella city centre","air conditioning, amenities near, central heating, covered terrace, dining room, double glazing, fitted wardrobes, front line beach, fully fitted kitchen, gated community, guest room, guest toilet, kitchen equipped, laundry room, lift, living room, marble floors, private terrace, sea view, security service 24h, security shutters, storage room, transport near",0,1,0
139423,Nagüeles,houses,"villa for sale in nagueles, marbella golden mile. the white pearl of nagueles","air conditioning, amenities near, balcony, barbeque, central heating, close to schools, close to shops, close to town, covered terrace, dining room, electric blinds, excellent condition, fireplace, fitted wardrobes, fully fitted kitchen, fully furnished, garden view, guest apartment, guest room, guest toilet, laundry room, living room, marble floors, mountain view, mountainside, panoramic view, pool view, private terrace, recently renovated/refurbished, satellite tv, separate apartment, storage room, study room, transport near, uncovered terrace, utility room",1,0,0
139438,Nagüeles,apartments,"los pinos de nagueles, garden apartment on the golden mile","lovely ground floor corner apartment within gated complex with 24 hour security, walking distance to marbella town and beach, private garden , east facing, swimming pool, social club and paddle tennis court, garage space, air conditioning",1,0,1
139506,Nagüeles,houses,"villa for sale in nagueles, marbella golden mile. the perfect villa to start a new life in nagueles","air conditioning, amenities near, balcony, central heating, close to schools, close to town, covered terrace, dining room, fireplace, fitted wardrobes, laundry room, living room, marble floors, mountainside, sea view, utility room",0,1,0
139596,Nagüeles,houses,"villa for sale in nagueles, marbella golden mile. classic elegant villa in nagueles","covered terrace, excellent condition, fully fitted kitchen, garden view, guest toilet, mountain view, video entrance",0,0,0
139660,Nagüeles,houses,"villa for sale in rocio de nagueles, marbella golden mile. elegant villa for sale in rocio de nagueles, marbella golden mile","24h service, air conditioning, alarm, amenities near, automatic irrigation system, barbeque, basement, covered terrace, dining room, double glazing, fireplace, fitted wardrobes, fully fitted kitchen, garden view, guest room, gym, heated pool, indoor pool, jacuzzi, kitchen equipped, laundry room, living room, marble floors, mountainside, panoramic view, sauna, sea view, security shutters, storage room, study room, underfloor heating (throughout)",1,1,0
139715,Nagüeles,houses,"villa for sale in nagueles, marbella golden mile. the luxury of a garden with views in nagueles","air conditioning, alarm, amenities near, automatic irrigation system, central heating, close to schools, close to town, covered terrace, excellent condition, fireplace, guest toilet, laundry room, living room, marble floors, mountain view, panoramic view, private terrace, satellite tv, sea view, separate apartment, storage room, study room, transport near, uncovered terrace, utility room",0,1,0
139742,Nagüeles,houses,"nagueles, townhouse in an exclusive gated community on the golden mile","fantastic location, andalucian arquitecture, sea views from solarium, security camaras , located behind the mosque, various terrace areas, garden area, garage for one car, separate apartment",0,1,1
139769,Golden Mile,houses,"beach side golden mile, imposing frontline beach villa","stunning beachfront estate, at a 2 minute drive or 10 minute walk from puerto banús, within the sought after golden mile, interior pool and sauna, large reception rooms ideal for entertaining, spacious bedrooms, staff bungalow, two guest houses, garages for 4 cars plus exterior parking",1,0,1
139789,Nagüeles,houses,"villa for sale in nagueles, marbella golden mile. palatial villa in the heart of nagueles","air conditioning, alarm, amenities near, barbeque, central heating, close to schools, close to town, dining room, dolby stereo surround system, excellent condition, fireplace, fitted wardrobes, game room, guest room, guest toilet, heated pool, internet - wifi, laundry room, living room, marble floors, mountainside, private terrace, spa, sauna, separate apartment, storage room, study room, surveillance cameras, turkish bath, underfloor heating (bathrooms), utility room, video entrance, wine cellar",1,0,0
139932,Nagüeles,houses,"villa for sale in nagueles, marbella golden mile. spectacular design villa at nagueles golden mile","air conditioning, amenities near, automatic irrigation system, basement, brand new, cinema room, close to schools, close to town, covered terrace, dining room, double glazing, fireplace, fitted wardrobes, fully fitted kitchen, game room, guest apartment, guest room, guest toilet, gym, jacuzzi, laundry room, lift, living room, mountainside, open plan kitchen, private terrace, sauna, sea view, solarium, storage room, surveillance cameras, transport near, turkish bath, uncovered terrace, underfloor heating (throughout), video entrance, wine cellar",0,1,0
139937,Nagüeles,houses,"villa for sale in nagueles, marbella golden mile. a dreamed moder villa in nagueles","air conditioning, amenities near, automatic irrigation system, balcony, basement, brand new, central heating, cinema room, close to golf, close to schools, close to town, covered terrace, dining room, dolby stereo surround system, double glazing, electric blinds, fireplace, fitted wardrobes, fully fitted kitchen, fully furnished, game room, guest room, guest toilet, gym, heated pool, home automation system, internet - wifi, jacuzzi, lift, living room, marble floors, mountain view, mountainside, panoramic view, private terrace, sea view, storage room, uncovered terrace, underfloor heating (throughout), video entrance, wooden floors",1,1,0
140062,Nagüeles,houses,"nagueles, corner townhouse near marbella","spacious corner town house , set above marbella, south orientation, short drive to marbella centre and the beach, gated development in quiet setting, views over the garden, mountains and the sea, fantastic location, communal garden with swimming pools, space to install a lift, roof terrace with bbq and jacuzzi, large basement with guest accommodation , garage with space for one car",1,0,1
141963,Nagüeles,houses,townhouse in top residential area of nagueles,"fireplace, terrace, mountain view, swimming pool, air conditioning, basement, sea/lake view, built-in kitchen",1,0,0
145972,Golden Mile,apartments,"duplex penthouse for sale in marina mariola,  marbella golden mile","24h service, covered terrace, gym, heated pool, indoor pool, jacuzzi, lift, marble floors, satellite tv, sauna, solarium, telephone, storage room, air conditioning, sea view, amenities near, beachside, front line beach, transport near, fully fitted kitchen, double glazing, gated community, security entrance, security service 24h.",1,1,0
145997,Golden Mile,apartments,"ground floor apartment for sale and rent in mansion club,  marbella golden mile","alarm, covered terrace, dolby stereo surround system, electric blinds, gym, indoor pool, internet - wifi, jacuzzi, lift, marble floors, satellite tv, sauna, telephone, water tank, dining room, storage room, utility room, air conditioning, underfloor heating (bathrooms), garden view, mountain view, amenities near, mountainside, transport near, fully fitted kitchen, fully furnished, doorman, double glazing, gated community, security entrance, security service 24h, video entrance.",1,0,0
146005,Golden Mile,apartments,"ground floor apartment for sale in mansion club,  marbella golden mile","private terrace, air conditioning, central heating, alarm, security service 24h, satellite tv, storage room, sea view, garden view, pool view, gated community.",1,1,0
146009,Golden Mile,apartments,"ground floor apartment for sale in mansion club,  marbella golden mile","alarm, covered terrace, fitted wardrobes, heated pool, home automation system, indoor pool, internet - wifi, lift, marble floors, satellite tv, telephone, uncovered terrace, water tank, dining room, laundry room, storage room, air conditioning, central heating, underfloor heating (bathrooms), garden view, mountainside, kitchen equipped, doorman, double glazing, gated community, security entrance, security service 24h.",1,0,0
