id,title,features,living_area,total_area,plot_area,price,pool,sea_view,garage,location,type,area,price_area,loc_type_mean_price,conta_under,conta_over,over_valued,under_valued,normal,aux1,aux2,aux3,aux4
133780,"5 bedroom villa for sale, nagueles, marbella golden mile, malaga costa del sol","bedrooms: 5, bathrooms: 6, floor size (m2): 338, plot size (m2): 2,500, work required: none, swimming pool, gite / additional accommodation, income, garage",0.0,338.0,2500.0,2580000,1,0,1,Golden Mile,houses,338.0,7633.136094674556,4386.031261674726,3289.5234462560447,5482.539077093407,1,0,0,1,2,3,4
133794,"5 bedroom villa for sale, nagueles, marbella, malaga costa del sol, marbella golden mile","bedrooms: 5, bathrooms: 5, floor size (m2): 450, plot size (m2): 3,000, work required: none, swimming pool, garage",0.0,450.0,3000.0,2500000,1,0,1,Golden Mile,houses,450.0,5555.555555555556,4386.031261674726,3289.5234462560447,5482.539077093407,1,0,0,1,2,3,4
133831,"3 bedroom apartment for sale, el oasis club, marbella golden mile, malaga costa del sol","bedrooms: 3, bathrooms: 3, floor size (m2): 199, work required: none, swimming pool, garage, parking",0.0,199.0,0.0,2300000,1,0,1,Golden Mile,apartments,199.0,11557.788944723618,5135.613262929439,3851.709947197079,6419.516578661798,1,0,0,1,2,3,4
133908,"5 bedroom villa for sale, nagueles, marbella golden mile, malaga costa del sol","bedrooms: 5, bathrooms: 3, floor size (m2): 340, plot size (m2): 2,060, swimming pool, balcony, garage, parking, private / not overlooked",0.0,340.0,2060.0,1790000,1,0,1,Golden Mile,houses,340.0,5264.705882352941,4386.031261674726,3289.5234462560447,5482.539077093407,0,0,1,1,2,3,4
133938,"5 bedroom villa for sale, nagueles, marbella golden mile, malaga costa del sol","bedrooms: 5, bathrooms: 5, floor size (m2): 434, plot size (m2): 1,434, work required: none, swimming pool, gite / additional accommodation, income, garage, parking",0.0,434.0,1434.0,1595000,1,0,1,Golden Mile,houses,434.0,3675.115207373272,4386.031261674726,3289.5234462560447,5482.539077093407,0,0,1,1,2,3,4
133960,"10 bedroom villa for sale, nagueles, marbella, malaga costa del sol, marbella golden mile","bedrooms: 10, bathrooms: 8, floor size (m2): 527, plot size (m2): 1,904, work required: none, swimming pool, jacuzzi, parking",0.0,527.0,1904.0,1495000,1,0,0,Golden Mile,houses,527.0,2836.812144212524,4386.031261674726,3289.5234462560447,5482.539077093407,0,1,0,1,2,3,4
133961,"2 bedroom apartment for sale, marina mariola, golden mile, malaga costa del sol, andalucia","bedrooms: 2, bathrooms: 2, floor size (m2): 128, work required: none, swimming pool, jacuzzi, gym, parking",0.0,128.0,0.0,1350000,1,0,0,Golden Mile,apartments,128.0,10546.875,5135.613262929439,3851.709947197079,6419.516578661798,1,0,0,1,2,3,4
134014,"2 bedroom apartment for sale, alhambra del mar, marbella golden mile, malaga costa del sol","bedrooms: 2, bathrooms: 2, floor size (m2): 183, work required: none, swimming pool, lake, parking",0.0,183.0,0.0,1300000,1,0,0,Golden Mile,apartments,183.0,7103.825136612022,5135.613262929439,3851.709947197079,6419.516578661798,1,0,0,1,2,3,4
134023,"4 bedroom villa for sale, cortijo nagueles, marbella golden mile, malaga costa del sol","bedrooms: 4, bathrooms: 3, floor size (m2): 233, plot size (m2): 1,400, work required: none, swimming pool, garage",0.0,233.0,1400.0,1275000,1,0,1,Golden Mile,houses,233.0,5472.1030042918455,4386.031261674726,3289.5234462560447,5482.539077093407,0,0,1,1,2,3,4
134051,"3 bedroom penthouse for sale, alhambra del mar, marbella golden mile, malaga costa del sol","bedrooms: 3, bathrooms: 2, floor size (m2): 172, work required: none, swimming pool, parking",0.0,172.0,0.0,1200000,1,0,0,Golden Mile,apartments,172.0,6976.7441860465115,5135.613262929439,3851.709947197079,6419.516578661798,1,0,0,1,2,3,4
134086,"2 bedroom penthouse for sale, mansion club, marbella, malaga costa del sol, marbella golden mile","bedrooms: 2, bathrooms: 2, floor size (m2): 157, terrace (m2): 57, work required: none, swimming pool, jacuzzi, gym, garage, parking",0.0,157.0,0.0,999000,1,0,1,Golden Mile,apartments,157.0,6363.0573248407645,5135.613262929439,3851.709947197079,6419.516578661798,0,0,1,1,2,3,4
134101,"4 bedroom villa for sale, nagueles, marbella milla de oro, malaga costa del sol, andalucia","bedrooms: 4, bathrooms: 3, floor size (m2): 133, plot size (m2): 1,811, swimming pool, air conditioning",0.0,133.0,1811.0,799000,1,0,0,Nagüeles,houses,133.0,6007.518796992481,3047.855824614271,2285.8918684607033,3809.819780767839,1,0,0,1,2,3,4
134124,"2 bedroom apartment for sale, mansion club, marbella golden mile, malaga costa del sol","bedrooms: 2, bathrooms: 2, floor size (m2): 163, work required: none, swimming pool, jacuzzi, gym, garage, parking",0.0,163.0,0.0,980000,1,0,1,Golden Mile,apartments,163.0,6012.269938650306,5135.613262929439,3851.709947197079,6419.516578661798,0,0,1,1,2,3,4
134252,"3 bedroom villa for sale, nagueles, marbella milla de oro, malaga costa del sol, andalucia","bedrooms: 3, bathrooms: 2, floor size (m2): 159, plot size (m2): 440, swimming pool, balcony, air conditioning, parking",0.0,159.0,440.0,765000,1,0,0,Nagüeles,houses,159.0,4811.320754716981,3047.855824614271,2285.8918684607033,3809.819780767839,1,0,0,1,2,3,4
134273,"4 bedroom townhouse for sale, solana de nagueles, marbella milla de oro, malaga costa del sol, andalucia","bedrooms: 4, bathrooms: 4, floor size (m2): 284, plot size (m2): 186, work required: none, swimming pool, balcony, jacuzzi, garage",0.0,284.0,186.0,725000,1,0,1,Nagüeles,houses,284.0,2552.8169014084506,3047.855824614271,2285.8918684607033,3809.819780767839,0,0,1,1,2,3,4
134363,"3 bedroom townhouse for sale, rocio de nagueles, marbella milla de oro, malaga costa del sol, andalucia","bedrooms: 3, bathrooms: 3, floor size (m2): 168, plot size (m2): 223, work required: none, swimming pool",0.0,168.0,223.0,595000,1,0,0,Nagüeles,houses,168.0,3541.6666666666665,3047.855824614271,2285.8918684607033,3809.819780767839,0,0,1,1,2,3,4
134574,"3 bedroom townhouse for sale, nagueles, marbella golden mile, malaga costa del sol","bedrooms: 3, bathrooms: 2, floor size (m2): 147, plot size (m2): 143, work required: none, swimming pool, air conditioning, jacuzzi, garage",0.0,147.0,143.0,430000,1,0,1,Golden Mile,houses,147.0,2925.170068027211,4386.031261674726,3289.5234462560447,5482.539077093407,0,1,0,1,2,3,4
134581,"3 bedroom townhouse for sale, nagueles, marbella ciudad y milla de oro, malaga costa del sol, andalucia","bedrooms: 3, bathrooms: 2, floor size (m2): 170, plot size (m2): 220, work required: none, swimming pool, jacuzzi",0.0,170.0,220.0,425000,1,0,0,Nagüeles,houses,170.0,2500.0,3047.855824614271,2285.8918684607033,3809.819780767839,0,0,1,1,2,3,4
137331,"luxury marbella golden mile villa, close to amenities and the beach","fitted wardrobes,   private terrace,   covered terrace,   guest apartment,   jacuzzi,   fireplace,   air conditioning,   central heating,   amenities near,   garden view,   mountain view,   pool view,   fully furnished,   fully fitted kitchen,   sea view,   close to golf,   close to port,   close to schools,   close to sea/beach,   close to shops,   close to town,   uncovered terrace,   excellent condition,   marble floors,   laundry room,   recently renovated/refurbished,   dolby stereo surround system",0.0,684.0,1434.0,1850000,1,1,0,Golden Mile,houses,684.0,2704.6783625730995,4386.031261674726,3289.5234462560447,5482.539077093407,0,1,0,1,2,3,4
137573,"3 bedroom townhouse for sale in prime location, nagueles, marbella golden mile","fully fitted kitchen, alarm, dining room, living room, gated community, beachside, security entrance, sea view, fitted wardrobes, air conditioning, marble floors, private terrace, covered terrace, garden view, amenities near",0.0,282.0,151.0,470000,0,1,0,Golden Mile,houses,282.0,1666.6666666666667,4386.031261674726,3289.5234462560447,5482.539077093407,0,1,0,1,2,3,4
